word	count
GEOCOORD	POS	4QFJ 50007000	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB4611036560	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB46113656	TP	1	[GEOCOORD]
GEOCOORD	POS	8SMB46113656	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 4611036560	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 46113656	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 461136560    # asymmetric	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 46110 3656	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 4611 03656	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 4611 03656 60	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 4611 03656 4 km  ## random numeric text  following a northing.	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 461 03656 4 km  ## random numeric text  following a northing.	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 0461 0365	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 00461 00365	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 04610 03650	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 04610 0365	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 46110365 60	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 46110365 60	TP	1	[GEOCOORD]
GEOCOORD	POS	38SMB 46110365 60000 # supposedly a large number follows -- pattern should not match.	TP	1	[GEOCOORD]
GEOCOORD	POS	38 SMB 4611 3656	TP	1	[GEOCOORD]
GEOCOORD	NEG	42 RPR 4611 3656  42 RP*  P not valid lat band in 42 longitudinal zone	FP	1	[GEOCOORD]
GEOCOORD	NEG	42WDB 4611 3656   , D not a valid zone	FP	1	[GEOCOORD]
GEOCOORD	NEG	63SNV 6567 7888	FP	1	[GEOCOORD]
GEOCOORD	NEG	00SNV 6567 7888	FP	1	[GEOCOORD]
GEOCOORD	NEG	0SNV 6567 7888	FP	1	[GEOCOORD]
GEOCOORD	NEG	20 PER 1000  - appears to be a rate of some sort.	FP	1	[GEOCOORD]
GEOCOORD	NEG	10 JAN 1994  - appears to be a date of some sort.	FP	1	[GEOCOORD]
GEOCOORD	NEG	10 JAN 94  - appears to be a date of some sort.	FP	1	[GEOCOORD]
GEOCOORD	NEG	1 JAN 94  - appears to be a date of some sort.	FP	1	[GEOCOORD]
GEOCOORD	NEG	01 JAN 94  - appears to be a date of some sort.  past century	FP	1	[GEOCOORD]
